Descriptor	Definition	Example	Format	Cardinality	Source	Comments	ISA Entity	ISA Field	Further description	FAANG Title
INVESTIGATION	Investigations are research programs with defined aims. They can exist at various scales (e.g., they could encompass a grant-funded program of work, the various components comprising a peer-reviewed publication, or a single experiment).									
investigationId	A unique identifier of the dataset. 	2025SF0002	Unique identifier	1	Plant		investigation	identifier		
investigationTitle	A human-readable string summarizing the investigation.	The behaviour of laboratory mice in KI-TIERWOHL.	Free text (short)	1	Plant FAANG		investigation	title		
investigationDescription	A human-readable text describing the investigation in more detail.	Research on how mice behave in different environments under laboratory conditions.	Free text	0-1	Plant FAANG		investigation	description		
submissionDate	The date on which the dataset was submitted, e.g. with a publication or to a repository.	2025-11-04	Date/Time (ISO 8601, optional time zone)	0-1	Plant		investigation	submissionDate		
publicReleaseDate	The date of the first public release of the dataset presently being described.	2025-11-04	Date/Time (ISO 8601, optional time zone)	0-1	Plant		investigation	publicReleaseDate		
license	A license for the reuse of the data associated with this investigation. The Creative Commons licenses cover most use cases and are recommended.	CC-BY-4.0	Unique identifier	0-1	Plant	Discussion: Can multiple licenses be issued per study within one investigation (e.g. multiple partners)? For submission, one license for the published dataset needs to be the "most" restrictive. If the studies licenses are too different, the study has to be published separately as its own investigation. Idea: using SPDX Link https://spdx.dev/	investigation	comment[license]		
potentialChecklistVersion	A placeholder for further adaption of the checklist.			0	Plant	No MIAPPE avalilable at the moment, only for commentary version- need new name in the future				
associatedPublication	An identifier for a literature publication where the investigation is described. Use of DOIs is recommended.	doi: 10.1371/journal.pone.0071377	DOI	0+	Plant		investigation	publications		
STUDY				0+						
studyId	A unique identifier of the study (e.g. a study could be an experiment).	2025RR0001	Unique identifier	1	Plant		study	identifier		
studyTitle	The title should be a representation of the experimental design.	2025 Laboratory mice Experiments	Free text (short)	1	Plant		study	title		
studyDescription	A human-readable text that is describing the study.	Study on the nutritional intake of mice.	Free text	0-1	Plant		study	description		
studyProject	The referred project, the study, the founder, or a collective that is working on this study.	Project: KI-TIERWOHL	Free text	0-1						
studyStartDate	The date and, if relevant, the time when the experiment started.	2002-04-04; 2006-09-27T10:23:21+00:00	Date/Time (ISO 8601, optional time zone)	1	Plant		study	comment[Study Start Date]		
studyEndDate	The date and, if relevant, the time when the experiment ended.	2025-11-04	Date/Time (ISO 8601, optional time zone)	0-1	Plant	To be discussed: If animals have long-term experiments without end. Potential splitting of data over longer time periods- letting study open?	study	comment[Study End Date]		
contactInst	The name and address of the institution responsible for the study.	IEC - Rostock university medical center; https://ror.org/04dm1cm79	Free text (short)	1	Plant FAANG	Recommendation to use the ROR. If multiple institutions should be named, then they need to model characteristic institutions to add multiple insitutsions. For a minimal idea, we stick with one contact institution, e.g. the coordination institution, when dealing with larger projects. Another solution would be the split of studies based on institutions.  FAANG also includes for the organization the address, the URI, and the role of the organization.	study	comment[Study Contact Institution]		
locationCountry	The country where the experiment took place, either as a full name or, preferably, as a 2-letter code.	DE	Country name or 2-letter code (ISO 3166)	1	Plant		study	comment[Study Country]		
siteName	The name of the natural site, experimental facility, laboratory site, external collaborator etc. where the experiment took place.	FBN pig facility; IEC laboratory; farm of Peter	Free text (short)	1	Plant		study	comment[Study Experimental Site]		
locationLatitude	The latitude of the experimental site in degrees, in decimal format.	43.619.264	Degrees in the decimal format (ISO 6709)	0-1 (1 if longitude is provided)	Plant	Discussion: Only relevant when there is interaction with the atmosphere (weather). Recommendation to trim the geolocation coordinate uncertainty.	study	comment[Study Latitude]		
